start,end,loc,site,prec,I30,sm,rc
9/2/2010 19:23,9/2/2010 20:55,saxon,saxon,0.68,1.11,32,0
5/25/2009 23:33,5/26/2009 1:43,saxon,saxon,0.11,0.07,32,0
11/19/2009 0:32,11/19/2009 6:17,saxon,saxon,0.2,0.07,32,0
7/7/2010 11:03,7/7/2010 11:30,saxon,saxon,0.34,0.68,32,0
9/10/2007 10:05,9/10/2007 18:52,saxon,saxon,0.25,0.07,32,0
12/24/2009 17:31,12/25/2009 8:42,saxon,saxon,1.26,0.23,32,0.042696725
6/7/2008 21:17,6/7/2008 23:00,saxon,saxon,0.32,0.59,31,0
10/22/2009 3:21,10/22/2009 9:44,saxon,saxon,0.18,0.11,31,0
5/27/2009 7:32,5/27/2009 14:11,saxon,saxon,0.27,0.14,31,0
10/2/2007 22:44,10/2/2007 23:31,saxon,saxon,0.1,0.18,31,0
4/6/2010 6:55,4/6/2010 9:16,saxon,saxon,0.29,0.2,31,0
8/4/2008 14:34,8/4/2008 16:32,saxon,saxon,0.47,0.75,31,0
6/6/2009 14:30,6/6/2009 19:33,saxon,saxon,0.2,0.11,31,0
8/9/2009 15:04,8/9/2009 15:40,saxon,saxon,0.72,1.39,31,0
4/6/2010 0:30,4/6/2010 1:29,saxon,saxon,0.23,0.31,31,0
7/7/2008 20:47,7/7/2008 23:06,saxon,saxon,0.22,0.18,30,0
8/3/2008 18:51,8/3/2008 20:02,saxon,saxon,0.18,0.33,30,0
6/17/2009 5:23,6/17/2009 6:32,saxon,saxon,0.12,0.13,30,0
8/4/2008 4:44,8/4/2008 6:31,saxon,saxon,0.23,0.2,30,0
9/14/2008 9:18,9/14/2008 13:17,saxon,saxon,0.29,0.13,30,0
9/11/2010 4:47,9/11/2010 10:24,saxon,saxon,0.37,0.22,30,0
6/6/2008 13:25,6/6/2008 13:34,saxon,saxon,0.18,0.36,30,0
6/8/2009 0:47,6/8/2009 7:10,saxon,saxon,0.79,0.25,30,0
7/7/2008 0:43,7/7/2008 1:10,saxon,saxon,0.44,0.88,30,0
9/1/2010 0:44,9/1/2010 3:43,saxon,saxon,0.67,0.64,30,0
7/10/2010 17:13,7/10/2010 18:48,saxon,saxon,0.17,0.29,30,0
7/10/2008 18:48,7/10/2008 19:54,saxon,saxon,0.24,0.44,30,0
7/12/2008 3:19,7/12/2008 6:41,saxon,saxon,0.4,0.56,29,0
7/2/2008 9:53,7/2/2008 11:06,saxon,saxon,0.7,1.05,29,0
7/16/2008 15:19,7/16/2008 18:01,saxon,saxon,2.64,3.96,28,0.16116959
10/6/2009 10:40,10/6/2009 15:10,saxon,saxon,0.29,0.22,28,0
9/17/2007 15:22,9/17/2007 17:09,saxon,saxon,0.17,0.28,28,0
9/21/2007 20:13,9/21/2007 23:02,saxon,saxon,0.29,0.35,28,0
7/14/2010 20:37,7/14/2010 22:43,saxon,saxon,0.91,1.43,28,0
10/10/2007 12:36,10/10/2007 17:41,saxon,saxon,0.14,0.07,28,0
10/15/2009 16:55,10/16/2009 2:34,saxon,saxon,0.2,0.07,28,0
10/6/2009 6:16,10/6/2009 8:28,saxon,saxon,0.13,0.11,27,0
9/25/2007 5:05,9/25/2007 6:14,saxon,saxon,0.17,0.29,27,0
10/15/2007 23:41,10/16/2007 8:11,saxon,saxon,0.78,0.31,27,0
12/27/2008 21:57,12/28/2008 0:23,saxon,saxon,0.14,0.16,27,0
12/27/2008 13:17,12/27/2008 16:11,saxon,saxon,0.19,0.11,27,0
8/19/2007 21:32,8/20/2007 8:42,saxon,saxon,1.14,0.6,26,0
12/26/2008 9:32,12/26/2008 14:38,saxon,saxon,0.19,0.09,26,0
10/15/2008 5:34,10/15/2008 13:04,saxon,saxon,0.18,0.09,26,0
9/30/2007 23:57,10/1/2007 6:32,saxon,saxon,0.85,0.53,25,0
10/20/2008 2:22,10/20/2008 6:51,saxon,saxon,0.26,0.22,25,0
10/24/2008 6:48,10/24/2008 12:21,saxon,saxon,0.19,0.09,25,0
11/13/2008 19:18,11/13/2008 23:18,saxon,saxon,0.15,0.11,25,0
11/6/2008 12:22,11/6/2008 19:38,saxon,saxon,0.23,0.29,24,0
10/2/2009 3:40,10/2/2009 10:30,saxon,saxon,0.27,0.16,24,0
6/18/2007 20:33,6/19/2007 0:27,saxon,saxon,0.45,0.5,24,0
7/9/2007 9:41,7/9/2007 11:52,saxon,saxon,0.44,0.72,24,0
9/25/2009 19:48,9/25/2009 21:29,saxon,saxon,0.1,0.11,24,0
9/28/2009 4:21,9/28/2009 5:47,saxon,saxon,0.22,0.23,24,0
6/21/2007 2:04,6/21/2007 3:48,saxon,saxon,0.16,0.22,24,0
10/1/2009 21:13,10/1/2009 22:28,saxon,saxon,0.14,0.14,24,0
9/13/2008 5:16,9/13/2008 14:04,saxon,saxon,0.59,0.18,23,0
7/11/2009 0:41,7/11/2009 3:23,saxon,saxon,0.12,0.16,23,0
7/5/2007 17:07,7/5/2007 18:39,saxon,saxon,0.55,0.61,23,0
10/7/2008 13:56,10/8/2008 1:13,saxon,saxon,0.68,0.22,23,0
7/3/2007 19:47,7/3/2007 23:36,saxon,saxon,0.17,0.14,23,0
7/16/2007 9:07,7/16/2007 10:53,saxon,saxon,0.11,0.07,23,0
9/11/2008 17:26,9/11/2008 19:02,saxon,saxon,0.36,0.45,23,0
10/5/2008 16:52,10/6/2008 2:33,saxon,saxon,0.24,0.11,22,0
6/5/2008 5:39,6/5/2008 10:07,saxon,saxon,0.78,0.58,22,0
5/31/2008 3:27,5/31/2008 5:34,saxon,saxon,0.13,0.18,22,0
7/15/2009 1:40,7/15/2009 3:31,saxon,saxon,0.17,0.13,22,0
9/4/2008 8:46,9/4/2008 23:18,saxon,saxon,0.56,0.13,22,0
7/26/2007 18:08,7/26/2007 20:00,saxon,saxon,0.28,0.25,22,0
5/30/2008 1:32,5/30/2008 6:04,saxon,saxon,0.32,0.25,22,0
6/2/2008 21:00,6/3/2008 6:11,saxon,saxon,0.38,0.16,22,0
7/27/2009 17:09,7/27/2009 18:58,saxon,saxon,0.1,0.14,22,0
8/14/2007 8:44,8/14/2007 9:04,saxon,saxon,0.11,0.22,21,0
7/22/2009 9:13,7/22/2009 11:18,saxon,saxon,0.24,0.27,21,0
8/7/2009 22:36,8/8/2009 9:13,saxon,saxon,1.87,2.14,21,0
8/18/2007 14:00,8/19/2007 8:40,saxon,saxon,0.94,0.18,21,0
9/22/2009 12:32,9/22/2009 17:09,saxon,saxon,0.61,0.32,21,0
8/3/2009 3:44,8/3/2009 7:17,saxon,saxon,0.5,0.43,21,0
8/7/2007 0:12,8/7/2007 2:45,saxon,saxon,0.93,1.33,21,0
6/7/2008 21:35,6/8/2008 4:39,koepke,koepke,1.2,1.16,43,0.760171666
6/8/2008 10:04,6/8/2008 11:45,koepke,koepke,0.73,0.96,43,0.535241469
8/24/2007 17:59,8/24/2007 21:47,koepke,koepke,0.36,0.6,42,0.011634349
4/25/2008 16:56,4/25/2008 20:31,koepke,koepke,1,1.37,42,0.453927415
8/20/2007 8:16,8/20/2007 10:43,koepke,koepke,0.34,0.34,42,0.041297935
8/23/2007 5:28,8/23/2007 9:23,koepke,koepke,0.43,0.56,42,0.014730397
4/11/2008 0:03,4/11/2008 2:26,koepke,koepke,0.19,0.19,42,0
8/24/2007 2:34,8/24/2007 5:38,koepke,koepke,1.05,1.85,42,0.317929727
10/22/2006 5:42,10/22/2006 9:58,koepke,koepke,0.18,0.08,41,0
6/14/2008 16:59,6/14/2008 18:44,koepke,koepke,0.12,0.16,41,0
4/11/2008 10:51,4/11/2008 11:08,koepke,koepke,0.12,0.23,41,0
8/19/2007 20:34,8/20/2007 5:12,koepke,koepke,1.01,0.4,41,0.015904573
8/22/2007 16:44,8/22/2007 22:14,koepke,koepke,1.45,2.04,41,0.262528945
11/29/2006 17:17,11/29/2006 22:42,koepke,koepke,0.32,0.12,40,0
4/25/2008 10:24,4/25/2008 11:39,koepke,koepke,0.74,1.21,40,0.150073473
5/30/2006 18:29,5/30/2006 21:59,koepke,koepke,0.22,0.16,40,0
8/7/2007 3:52,8/7/2007 6:45,koepke,koepke,0.22,0.13,40,0
1/2/2006 8:26,1/2/2006 14:56,koepke,koepke,0.59,0.32,40,0
8/29/2007 14:19,8/29/2007 14:55,koepke,koepke,0.14,0.19,40,0
8/22/2007 2:16,8/22/2007 4:54,koepke,koepke,0.94,1.41,40,0.01127311
11/29/2006 3:56,11/29/2006 5:36,koepke,koepke,0.23,0.35,40,0
8/27/2007 10:17,8/27/2007 12:42,koepke,koepke,0.47,0.36,40,0
6/12/2008 13:29,6/13/2008 2:29,koepke,koepke,2.23,0.69,40,0.475358423
10/18/2007 2:25,10/18/2007 6:54,koepke,koepke,0.16,0.18,40,0
10/2/2007 22:43,10/2/2007 22:55,koepke,koepke,0.21,0.42,39,0
8/15/2007 8:18,8/15/2007 13:47,koepke,koepke,0.22,0.17,39,0
9/14/2008 3:39,9/14/2008 13:33,koepke,koepke,0.44,0.14,39,0
4/2/2006 20:26,4/3/2006 7:55,koepke,koepke,0.98,0.29,39,0
12/22/2006 4:59,12/22/2006 19:37,koepke,koepke,1.39,0.43,39,0.007902299
10/18/2006 15:46,10/18/2006 19:49,koepke,koepke,0.22,0.14,39,0
8/9/2007 5:11,8/9/2007 7:49,koepke,koepke,0.89,1.26,39,0
8/12/2007 1:23,8/12/2007 2:57,koepke,koepke,0.39,0.3,39,0
3/31/2008 11:15,3/31/2008 13:31,koepke,koepke,0.37,0.46,38,0
9/13/2008 17:35,9/13/2008 19:12,koepke,koepke,0.13,0.14,38,0
4/10/2008 9:27,4/10/2008 20:30,koepke,koepke,1,0.42,38,0.027058474
8/14/2007 3:30,8/14/2007 5:47,koepke,koepke,0.43,0.32,38,0
6/2/2006 1:06,6/2/2006 1:34,koepke,koepke,0.1,0.2,38,0
4/2/2006 12:13,4/2/2006 13:35,koepke,koepke,0.13,0.14,38,0
10/21/2006 17:44,10/22/2006 0:38,koepke,koepke,0.56,0.17,38,0
4/26/2007 4:40,4/26/2007 13:43,koepke,koepke,0.95,0.45,38,0.007039868
4/13/2006 22:19,4/13/2006 22:28,koepke,koepke,0.11,0.21,38,0
4/3/2007 1:15,4/3/2007 8:35,koepke,koepke,1.71,0.51,38,0.090960294
1/1/2006 18:09,1/2/2006 2:18,koepke,koepke,0.32,0.16,37,0
4/3/2008 19:59,4/4/2008 0:12,koepke,koepke,0.16,0.08,37,0
11/12/2006 9:20,11/12/2006 15:34,koepke,koepke,0.17,0.04,37,0
8/6/2007 23:17,8/7/2007 1:46,koepke,koepke,0.6,0.79,37,0
8/18/2007 12:37,8/19/2007 12:23,koepke,koepke,2.87,0.47,37,0.001867965
4/6/2006 22:16,4/7/2006 9:03,koepke,koepke,2.11,1.2,37,0.151589863
5/12/2006 4:07,5/12/2006 18:58,koepke,koepke,0.34,0.07,37,0
9/25/2007 18:06,9/25/2007 21:24,koepke,koepke,0.29,0.21,37,0
9/30/2007 23:00,10/1/2007 3:05,koepke,koepke,0.48,0.32,37,0
4/8/2008 13:17,4/8/2008 21:38,koepke,koepke,1.14,0.27,37,0
4/12/2006 5:55,4/12/2006 9:58,koepke,koepke,0.24,0.25,36,0
8/25/2006 12:46,8/25/2006 14:51,koepke,koepke,0.17,0.22,36,0
10/16/2006 20:41,10/17/2006 8:22,koepke,koepke,0.82,0.35,36,0
9/25/2007 7:18,9/25/2007 8:49,koepke,koepke,0.1,0.17,36,0
3/30/2006 23:47,3/31/2006 2:56,koepke,koepke,0.31,0.32,36,0
3/31/2007 21:22,4/1/2007 0:54,koepke,koepke,0.62,0.77,36,0.003497174
12/31/2005 11:08,12/31/2005 14:17,koepke,koepke,0.19,0.11,36,0
4/24/2007 22:00,4/25/2007 7:36,koepke,koepke,0.28,0.1,36,0
6/7/2008 16:00,6/7/2008 19:22,koepke,koepke,1.37,1.58,36,0.210937214
5/30/2006 11:00,5/30/2006 11:56,koepke,koepke,0.54,0.86,36,0
7/30/2006 7:52,7/30/2006 9:04,koepke,koepke,0.23,0.39,36,0
9/21/2007 20:16,9/21/2007 23:01,koepke,koepke,0.35,0.26,36,0
10/26/2006 18:26,10/26/2006 22:14,koepke,koepke,0.15,0.08,36,0
10/4/2006 5:16,10/4/2006 8:00,koepke,koepke,2.07,3.29,36,0.519552917
6/6/2008 7:56,6/6/2008 12:44,koepke,koepke,0.26,0.42,36,0
12/31/2006 7:33,12/31/2006 10:57,koepke,koepke,0.14,0.08,35,0
10/10/2006 20:10,10/11/2006 13:44,koepke,koepke,0.62,0.15,35,0
3/31/2008 2:40,3/31/2008 5:42,koepke,koepke,0.39,0.31,35,0
5/29/2006 15:50,5/29/2006 16:08,koepke,koepke,0.17,0.33,35,0
9/7/2007 3:57,9/7/2007 5:52,koepke,koepke,0.11,0.19,35,0
3/31/2007 15:51,3/31/2007 17:04,koepke,koepke,0.23,0.44,35,0
5/2/2008 11:21,5/2/2008 12:46,koepke,koepke,0.25,0.38,35,0
8/1/2006 19:09,8/1/2006 20:17,koepke,koepke,0.41,0.8,35,0
10/15/2007 21:28,10/16/2007 7:17,koepke,koepke,0.91,0.36,35,0
3/22/2007 2:00,3/22/2007 4:51,koepke,koepke,0.78,0.76,35,0.017219627
7/10/2007 16:17,7/10/2007 16:25,koepke,koepke,0.22,0.44,34,0
8/24/2006 11:57,8/24/2006 15:35,koepke,koepke,0.3,0.18,34,0
11/26/2006 19:42,11/27/2006 2:25,koepke,koepke,0.27,0.14,34,0
5/25/2006 15:08,5/25/2006 17:45,koepke,koepke,0.41,0.43,34,0
4/24/2007 14:38,4/24/2007 19:47,koepke,koepke,0.23,0.1,34,0
6/4/2007 6:52,6/4/2007 14:06,koepke,koepke,0.45,0.42,34,0
9/10/2007 7:12,9/10/2007 19:55,koepke,koepke,0.92,0.21,34,0
11/10/2006 13:09,11/10/2006 15:56,koepke,koepke,0.36,0.21,34,0
11/23/2005 12:46,11/23/2005 14:01,koepke,koepke,0.13,0.14,34,0
7/26/2007 22:31,7/27/2007 2:16,koepke,koepke,0.53,0.52,34,0
5/25/2006 11:34,5/25/2006 11:44,koepke,koepke,0.14,0.27,34,0
6/6/2006 23:38,6/6/2006 23:59,koepke,koepke,0.62,1.24,33,0
12/21/2006 7:02,12/21/2006 16:15,koepke,koepke,0.24,0.14,33,0
10/14/2007 11:02,10/14/2007 15:14,koepke,koepke,0.18,0.09,33,0
7/24/2006 6:33,7/24/2006 6:44,koepke,koepke,0.12,0.24,33,0
4/23/2007 3:06,4/23/2007 6:55,koepke,koepke,0.42,0.33,33,0
4/22/2006 2:57,4/22/2006 4:27,koepke,koepke,0.14,0.2,33,0
6/2/2007 11:35,6/2/2007 14:52,koepke,koepke,0.24,0.31,33,0
6/28/2006 17:55,6/28/2006 19:12,koepke,koepke,0.31,0.48,33,0
8/6/2006 7:01,8/6/2006 12:15,koepke,koepke,0.61,0.52,33,0
8/9/2006 22:20,8/9/2006 23:24,koepke,koepke,0.15,0.2,32,0
3/21/2007 18:51,3/21/2007 19:57,koepke,koepke,0.34,0.37,32,0
5/24/2006 19:42,5/24/2006 20:22,koepke,koepke,0.43,0.81,32,0
4/24/2008 17:53,4/24/2008 20:39,koepke,koepke,0.15,0.14,32,0
4/25/2008 2:13,4/25/2008 4:29,koepke,koepke,1.22,1.03,32,0.005747126
6/26/2006 6:11,6/26/2006 8:28,koepke,koepke,0.19,0.13,32,0
7/27/2006 14:21,7/27/2006 16:33,koepke,koepke,0.75,1.28,32,0
7/14/2007 4:03,7/14/2007 6:45,koepke,koepke,0.19,0.19,32,0
8/4/2007 16:41,8/5/2007 6:45,koepke,koepke,1.27,0.94,32,0
6/21/2006 6:54,6/21/2006 7:53,koepke,koepke,0.24,0.42,31,0
5/16/2007 17:24,5/16/2007 18:14,koepke,koepke,0.13,0.21,31,0
5/11/2006 4:24,5/12/2006 0:28,koepke,koepke,0.99,0.16,31,0
6/25/2006 19:26,6/25/2006 22:18,koepke,koepke,0.46,0.51,31,0
9/12/2006 13:51,9/12/2006 16:10,koepke,koepke,0.76,0.68,31,0
9/23/2006 13:17,9/23/2006 17:54,koepke,koepke,0.28,0.16,31,0
5/9/2006 15:49,5/9/2006 20:03,koepke,koepke,0.27,0.18,31,0
9/22/2006 6:22,9/22/2006 8:10,koepke,koepke,0.13,0.13,30,0
9/13/2008 0:08,9/13/2008 11:30,koepke,koepke,1.09,0.34,30,0
10/2/2006 18:25,10/2/2006 21:03,koepke,koepke,0.54,0.82,30,0
9/30/2006 17:14,9/30/2006 17:33,koepke,koepke,0.1,0.2,30,0
9/8/2008 9:48,9/8/2008 16:12,koepke,koepke,0.13,0.05,30,0
7/20/2008 0:40,7/20/2008 3:12,koepke,koepke,0.17,0.18,30,0
4/29/2006 17:18,4/29/2006 22:56,koepke,koepke,0.22,0.11,29,0
4/30/2006 3:12,4/30/2006 16:49,koepke,koepke,0.71,0.16,29,0
7/16/2008 16:19,7/16/2008 16:27,koepke,koepke,0.16,0.32,29,0
5/15/2007 11:20,5/15/2007 18:20,koepke,koepke,0.63,0.43,29,0
6/18/2006 5:50,6/18/2006 14:58,koepke,koepke,0.84,0.39,29,0
7/20/2006 3:02,7/20/2006 5:25,koepke,koepke,0.99,1.45,29,0
5/11/2008 4:54,5/11/2008 9:02,koepke,koepke,0.17,0.15,29,0
9/4/2006 11:44,9/4/2006 16:07,koepke,koepke,0.15,0.09,29,0
11/20/2007 17:38,11/20/2007 22:35,koepke,koepke,0.1,0.07,29,0
6/18/2007 19:02,6/19/2007 0:31,koepke,koepke,0.26,0.21,29,0
9/12/2006 4:36,9/12/2006 9:29,koepke,koepke,0.26,0.16,29,0
7/2/2008 11:28,7/2/2008 11:47,koepke,koepke,0.28,0.56,29,0
7/2/2008 18:00,7/2/2008 19:45,koepke,koepke,0.42,0.57,29,0
7/12/2008 3:05,7/12/2008 6:22,koepke,koepke,0.47,0.66,29,0
7/26/2007 7:44,7/26/2007 12:11,koepke,koepke,1.29,1.44,28,0
7/10/2008 18:25,7/10/2008 18:47,koepke,koepke,0.11,0.22,28,0
7/10/2008 23:21,7/11/2008 7:23,koepke,koepke,0.54,0.33,28,0
7/7/2008 20:36,7/8/2008 2:16,koepke,koepke,0.93,0.95,28,0
6/1/2007 18:50,6/1/2007 20:47,koepke,koepke,1.01,1.58,28,0.001590957
7/7/2008 8:08,7/7/2008 9:14,koepke,koepke,0.7,0.82,27,0
7/9/2006 18:46,7/9/2006 19:00,koepke,koepke,0.24,0.48,27,0
7/11/2006 10:14,7/11/2006 17:56,koepke,koepke,0.86,0.38,27,0
6/26/2007 16:43,6/26/2007 17:05,koepke,koepke,0.12,0.23,27,0
9/25/2005 20:35,9/25/2005 22:28,koepke,koepke,0.126,0.144,27,0
8/4/2008 13:38,8/4/2008 14:41,koepke,koepke,0.34,0.65,27,0
9/22/2005 10:58,9/22/2005 11:29,koepke,koepke,0.101,0.184,27,0
9/10/2006 15:24,9/11/2006 2:03,koepke,koepke,0.24,0.14,27,0
9/11/2006 10:50,9/11/2006 22:33,koepke,koepke,0.46,0.23,27,0
5/31/2007 12:38,5/31/2007 14:14,koepke,koepke,0.64,1,27,0
7/9/2007 11:38,7/9/2007 13:15,koepke,koepke,0.98,1.82,27,0
8/18/2006 15:36,8/18/2006 18:55,koepke,koepke,0.24,0.34,27,0
9/25/2005 11:12,9/25/2005 13:45,koepke,koepke,0.254,0.308,26,0
8/4/2008 5:10,8/4/2008 6:32,koepke,koepke,0.3,0.5,26,0
6/5/2008 4:37,6/5/2008 9:05,koepke,koepke,1.71,1.69,26,0.031224399
8/13/2008 15:01,8/13/2008 18:42,koepke,koepke,0.12,0.09,26,0
8/23/2006 21:14,8/24/2006 6:29,koepke,koepke,0.87,0.64,25,0
7/3/2007 19:58,7/4/2007 0:56,koepke,koepke,0.58,0.83,25,0
7/3/2007 12:35,7/3/2007 14:09,koepke,koepke,0.68,0.73,25,0
9/4/2008 1:57,9/4/2008 21:24,koepke,koepke,1.32,0.23,25,0
5/25/2008 20:44,5/25/2008 22:29,koepke,koepke,0.39,0.43,25,0
5/30/2008 1:25,5/30/2008 9:04,koepke,koepke,0.56,0.5,24,0
6/4/2005 23:57,6/5/2005 4:59,koepke,koepke,0.16,0.16,24,0
9/13/2005 18:14,9/13/2005 18:32,koepke,koepke,0.28,0.56,24,0
8/4/2005 4:17,8/4/2005 5:24,koepke,koepke,0.14,0.18,24,0
7/25/2005 21:32,7/26/2005 1:14,koepke,koepke,0.96,0.91,24,0
9/19/2005 6:03,9/19/2005 8:11,koepke,koepke,0.297,0.324,24,0
9/22/2005 1:28,9/22/2005 5:17,koepke,koepke,1.171,1.208,24,0
9/7/2005 15:35,9/7/2005 17:22,koepke,koepke,0.65,1.06,24,0
6/30/2005 2:20,6/30/2005 3:37,koepke,koepke,0.14,0.24,24,0
6/26/2005 20:07,6/26/2005 22:04,koepke,koepke,0.49,0.83,23,0
7/4/2005 3:43,7/4/2005 5:46,koepke,koepke,0.19,0.24,23,0
6/4/2005 14:14,6/4/2005 15:34,koepke,koepke,0.49,0.74,23,0
7/4/2005 8:27,7/4/2005 10:38,koepke,koepke,0.45,0.55,23,0
8/11/2005 23:27,8/12/2005 1:34,koepke,koepke,0.14,0.16,23,0
7/23/2005 15:34,7/23/2005 17:17,koepke,koepke,0.53,0.8,23,0
8/26/2005 21:30,8/27/2005 0:35,koepke,koepke,1.61,1.4,23,0
8/18/2005 8:50,8/18/2005 11:43,koepke,koepke,0.42,0.25,23,0
7/21/2005 10:22,7/21/2005 12:32,koepke,koepke,0.7,0.94,23,0
6/25/2005 22:40,6/26/2005 0:28,koepke,koepke,0.66,0.82,22,0
7/20/2005 11:00,7/20/2005 11:49,koepke,koepke,0.27,0.45,22,0
